λ,α,contrast,Iu_disk_mse,Ip_disk_mse,theta_mse
-5.267370717807949,-9.0,-1.0,3.970815199656277,0.0781400538955725,0.18101597413669
-4.310996193607066,-9.0,-1.0,4.02003338920662,0.0170960937187041,0.1666972887249465
-3.354621669406182,-9.0,-1.0,4.036056030508108,0.0040897945044367,0.1498471722859002
-2.398247145205299,-9.0,-1.0,4.048299472987593,0.0011236457560731,0.131426551022276
-1.4418726210044157,-9.0,-1.0,4.063836349789145,0.0004745132474361,0.1343725310809678
-0.485498096803532,-9.0,-1.0,4.055571576269628,0.0023566320553439,0.0947318914168505
0.4708764273973509,-9.0,-1.0,3.981319020689316,0.1264815427940511,0.0932729304059957
1.4272509515982348,-9.0,-1.0,3.9907666555604617,0.1271261835727676,0.0957303294610299
2.3836254757991178,-9.0,-1.0,3.978874295194076,0.170515516565379,0.0961182790995165
3.34,-9.0,-1.0,3.9593223033337104,0.2200263764640432,0.0968317959500839
-5.267370717807949,-7.404660727863842,-1.0,3.96878366993513,0.0793841061255609,0.1810525265394334
-4.310996193607066,-7.404660727863842,-1.0,4.020573269026829,0.0169754724600592,0.1674489624687362
-3.354621669406182,-7.404660727863842,-1.0,4.03494777872345,0.0042298028585184,0.1476271650232658
-2.398247145205299,-7.404660727863842,-1.0,4.047021130114822,0.0012321041485602,0.1272176701010797
-1.4418726210044157,-7.404660727863842,-1.0,4.063622883862486,0.000471173907958,0.1352318922155175
-0.485498096803532,-7.404660727863842,-1.0,4.055045878817938,0.0041968286646221,0.0947155689443076
0.4708764273973509,-7.404660727863842,-1.0,3.9895486205685375,0.1093541814156353,0.0924562812506362
1.4272509515982348,-7.404660727863842,-1.0,3.9853180094711735,0.1398708701240004,0.0958840908733467
2.3836254757991178,-7.404660727863842,-1.0,3.966969720059928,0.2009476261506369,0.0964910064057981
3.34,-7.404660727863842,-1.0,3.963701257661037,0.2084757647180584,0.0967434388568685
-5.267370717807949,-5.809321455727685,-1.0,3.9728875879946415,0.0774249666357692,0.1809969341838971
-4.310996193607066,-5.809321455727685,-1.0,4.019561318118631,0.0170051118799325,0.1671503984808577
-3.354621669406182,-5.809321455727685,-1.0,4.035329859388042,0.0041647601969568,0.1485060590135763
-2.398247145205299,-5.809321455727685,-1.0,4.048539211452695,0.0010948581667955,0.132868569379929
-1.4418726210044157,-5.809321455727685,-1.0,4.062733052179343,0.0004852370982339,0.1293769170382099
-0.485498096803532,-5.809321455727685,-1.0,4.05415671145058,0.0043809037704738,0.0940059276083419
0.4708764273973509,-5.809321455727685,-1.0,3.99922506669699,0.090110913865914,0.0930247303774214
1.4272509515982348,-5.809321455727685,-1.0,3.995891942608204,0.1171162521510421,0.0952775856689911
2.3836254757991178,-5.809321455727685,-1.0,3.9686666347823967,0.1971269753943511,0.0964773137712887
3.34,-5.809321455727685,-1.0,3.970350766550196,0.1911430339824981,0.0969175669678648
-5.267370717807949,-4.213982183591527,-1.0,3.9712384809986343,0.0782212494255443,0.1810331991018897
-4.310996193607066,-4.213982183591527,-1.0,4.019683301270163,0.0170140621161367,0.1670644615535504
-3.354621669406182,-4.213982183591527,-1.0,4.034537859767081,0.0041875487972219,0.1482476357572476
-2.398247145205299,-4.213982183591527,-1.0,4.045009202593425,0.001135954191017,0.1309272385778815
-1.4418726210044157,-4.213982183591527,-1.0,4.055654651871388,0.0005001782715353,0.1263960070984979
-0.485498096803532,-4.213982183591527,-1.0,4.05506571862236,0.0014253939679687,0.0952765886806427
0.4708764273973509,-4.213982183591527,-1.0,4.006415922816816,0.0749406167968358,0.0929383889234879
1.4272509515982348,-4.213982183591527,-1.0,3.9999746132326974,0.1085304874857515,0.0954767658786365
2.3836254757991178,-4.213982183591527,-1.0,3.990210017438384,0.1417359397535448,0.0971395888174437
3.34,-4.213982183591527,-1.0,3.980078097809003,0.1649681873819907,0.0976695270195559
-5.267370717807949,-2.6186429114553693,-1.0,3.971220185093825,0.0775509386115227,0.181000291390318
-4.310996193607066,-2.6186429114553693,-1.0,4.017018745887919,0.0169319847820335,0.1678002590246834
-3.354621669406182,-2.6186429114553693,-1.0,4.017279386890504,0.0041547042549053,0.1488086107220026
-2.398247145205299,-2.6186429114553693,-1.0,3.984524970614822,0.0010607268617727,0.1353842931262202
-1.4418726210044157,-2.6186429114553693,-1.0,3.999824281049324,0.0004811958524321,0.1359693759944067
-0.485498096803532,-2.6186429114553693,-1.0,4.047285018905515,0.0012850867569856,0.0982881474253738
0.4708764273973509,-2.6186429114553693,-1.0,4.011723265660418,0.0576333987076873,0.0946653681541406
1.4272509515982348,-2.6186429114553693,-1.0,4.018030062909568,0.0678813839603839,0.0968537190717445
2.3836254757991178,-2.6186429114553693,-1.0,4.000824344828631,0.1088973858693863,0.098101069949114
3.34,-2.6186429114553693,-1.0,3.992921625133005,0.1251004625939531,0.0990428751474069
-5.267370717807949,-1.0233036393192112,-1.0,3.960945785698393,0.0779999303464712,0.1809336140786507
-4.310996193607066,-1.0233036393192112,-1.0,3.951648628174756,0.0169225906152325,0.167123502140974
-3.354621669406182,-1.0233036393192112,-1.0,3.7930522807564304,0.004145009301637,0.1490548783926649
-2.398247145205299,-1.0233036393192112,-1.0,3.615366912610977,0.0011517876261221,0.1371907400555604
-1.4418726210044157,-1.0233036393192112,-1.0,3.7693456440397934,0.000608779854892,0.1348343264124073
-0.485498096803532,-1.0233036393192112,-1.0,3.974701454224613,0.0007853717091023,0.1111086774682251
0.4708764273973509,-1.0233036393192112,-1.0,4.00082015120534,0.0194240447091621,0.0989593319447185
1.4272509515982348,-1.0233036393192112,-1.0,3.996704566893758,0.0535791246507181,0.0997648797133579
2.3836254757991178,-1.0233036393192112,-1.0,3.988712140460055,0.0673420454910654,0.100512084238109
3.34,-1.0233036393192112,-1.0,3.9807487509415846,0.0882463127570603,0.1008875507965762
-5.267370717807949,0.5720356328169451,-1.0,3.727830553402869,0.0829213837257725,0.1808715028813139
-4.310996193607066,0.5720356328169451,-1.0,3.245807592575379,0.0180379173210359,0.167893117560289
-3.354621669406182,0.5720356328169451,-1.0,2.356220722531335,0.0044725690931892,0.1567824221220801
-2.398247145205299,0.5720356328169451,-1.0,2.441080893979323,0.0022232444471857,0.1444753324449629
-1.4418726210044157,0.5720356328169451,-1.0,3.1856428466079656,0.0022057297342352,0.1335427157892643
-0.485498096803532,0.5720356328169451,-1.0,3.735027678965901,0.0681214115955634,0.1158936134658495
0.4708764273973509,0.5720356328169451,-1.0,3.7654419871731415,0.2176540399789123,0.1104477952868419
1.4272509515982348,0.5720356328169451,-1.0,3.7854799030633934,0.1297713676426336,0.1119370651346099
2.3836254757991178,0.5720356328169451,-1.0,3.759182714461152,0.1674935816495697,0.1139861599502353
3.34,0.5720356328169451,-1.0,3.750571019406864,0.2426940533966924,0.1130291877018818
-5.267370717807949,2.1673749049531037,-1.0,2.237175306094749,0.2771807598710347,0.1829749940143214
-4.310996193607066,2.1673749049531037,-1.0,1.1464332359833644,0.1954873226072358,0.1736531639233193
-3.354621669406182,2.1673749049531037,-1.0,0.6373299036693189,0.1368798607721964,0.1639009672036326
-2.398247145205299,2.1673749049531037,-1.0,2.477751834150856,0.5389921569195826,0.1409986031335792
-1.4418726210044157,2.1673749049531037,-1.0,3.0780330522493045,2.9751738603632285,0.1444995423195982
-0.485498096803532,2.1673749049531037,-1.0,3.196126553537562,3.373548999280337,0.1424650817773732
0.4708764273973509,2.1673749049531037,-1.0,3.203341748286217,3.414593347381496,0.1527122296080108
1.4272509515982348,2.1673749049531037,-1.0,3.267364378556277,2.434246722952428,0.1442828609531033
2.3836254757991178,2.1673749049531037,-1.0,3.1875985976383343,3.5565419036608827,0.1502919785646811
3.34,2.1673749049531037,-1.0,3.069126315252479,4.822094243039955,0.1475526371974989
-5.267370717807949,3.762714177089261,-1.0,0.5400213401629349,5.8052828033180965,0.2032639094495882
-4.310996193607066,3.762714177089261,-1.0,0.5639668370291923,5.995913624405863,0.1984783190056585
-3.354621669406182,3.762714177089261,-1.0,1.3886406661422064,6.123199328594067,0.1779241005280901
-2.398247145205299,3.762714177089261,-1.0,2.449154617294629,10.822286334999438,0.1864492781835506
-1.4418726210044157,3.762714177089261,-1.0,2.4680645844014,14.262584191064894,0.1921448218166112
-0.485498096803532,3.762714177089261,-1.0,2.415295945685956,14.59293373437336,0.1921943437685274
0.4708764273973509,3.762714177089261,-1.0,2.4778695945694995,15.35047650788545,0.1921046301350265
1.4272509515982348,3.762714177089261,-1.0,2.3993542749225525,15.638639837458063,0.1941726721372664
2.3836254757991178,3.762714177089261,-1.0,2.430744167361061,14.054633733915702,0.1915091603376225
3.34,3.762714177089261,-1.0,2.381065842823665,15.090950035607587,0.1922656218375188
-5.267370717807949,5.358053449225419,-1.0,0.7429390412930507,14.756786096598193,0.2111317815732035
-4.310996193607066,5.358053449225419,-1.0,1.024308357751054,16.087264727453714,0.1823930773323852
-3.354621669406182,5.358053449225419,-1.0,1.6659891769647337,16.15489985556948,0.1906874581966224
-2.398247145205299,5.358053449225419,-1.0,1.3176345482645275,13.30608896543967,0.1959877498545651
-1.4418726210044157,5.358053449225419,-1.0,1.2473441445272908,12.62657512359015,0.1985285281317054
-0.485498096803532,5.358053449225419,-1.0,1.3380191593136936,13.509613204396793,0.1971054794661603
0.4708764273973509,5.358053449225419,-1.0,1.72393122538317,6.977176315226052,0.1835353641580755
1.4272509515982348,5.358053449225419,-1.0,1.7320152448696775,8.443204963350741,0.1765964656055935
2.3836254757991178,5.358053449225419,-1.0,1.5596722317804936,7.1430815291319245,0.1856922746337707
3.34,5.358053449225419,-1.0,1.8482988894583328,9.857673574896808,0.181002118220857
